business_name,category,city,address,phone,source
"Sura, Mandal and Narula",Electronics,Kanpur,"69/46, Bajwa Path, Ratlam 946917",01323284758,Sulekha
Manda-Guha,Restaurant,Jaipur,"H.No. 873, Mukhopadhyay Ganj, Bhind-555389",2574345757,Google
Ratta-Sharaf,School,Agra,"30/624, Dora Marg, Begusarai-000970",2474199155,Sulekha
Chaudhry Inc,Salon,Lucknow,"18/78, Nagar Street, Raurkela Industrial Township 426893",05886821236,Sulekha
Gole-Pall,Hotel,Agra,"H.No. 86, Sane Ganj, Berhampur 822237",+911909332052,Sulekha
"Kashyap, Srinivas and Vaidya",Cafe,Bengaluru,"H.No. 38, Lad Path, Dibrugarh-285946",3424251460,Justdial
"Luthra, Chatterjee and Hegde",Gym,Delhi,"43, Chandran Marg, Gudivada 163673",06365875487,Justdial
"Sant, Shah and Bahri",Electronics,Lucknow,"H.No. 903, Dara Chowk, Bidhannagar 590900",+911338469529,Justdial
Kothari-Sagar,Electronics,Jaipur,"H.No. 059, Bhattacharyya Nagar, Hosur-444346",09418493834,Google
"Arya, Talwar and Sawhney",Gym,Mumbai,"60, Sekhon Nagar, Aligarh 367850",07659783768,Google
"Samra, Krish and Gole",Cafe,Bengaluru,"60/48, Balan, Srikakulam-602933",07796326774,Sulekha
Lata Group,Medical,Lucknow,"H.No. 03, Parekh Ganj, Gaya-377888",3163103037,Justdial
Mital-Goyal,Hotel,Jaipur,"H.No. 43, Zachariah Chowk, Asansol-826183",0789173069,Sulekha
Dugar LLC,Hotel,Lucknow,"H.No. 64, Sekhon Marg, Bhalswa Jahangir Pur 652320",+918407651064,Google
"Prashad, Nori and Tripathi",School,Pune,"703, Walia Chowk, Udaipur 575634",+917623378646,Sulekha
Buch-Varty,Clothing,Bengaluru,"34/40, Baria Marg, Saharsa-357613",05547944422,Google
Jaggi PLC,Clothing,Lucknow,"H.No. 158, Roy, Sasaram-216049",9064127919,Sulekha
Puri Inc,Mobile,Jaipur,"H.No. 486, Naik Circle, Serampore 985006",3655248519,Justdial
Kadakia and Sons,Electronics,Delhi,"42/89, Naidu Ganj, Morbi-997684",9541896926,Sulekha
"Warrior, Sami and Rao",Cafe,Agra,"82/19, Manda Nagar, Rourkela 410737",+915833858756,Justdial
Bal-Bir,Restaurant,Delhi,"94/147, Raj Zila, Gurgaon-964763",8808017773,Justdial
"Lala, Kurian and Ratti",Clothing,Bengaluru,"56/77, Banerjee Ganj, Nashik 977173",+911241994034,Sulekha
Kapoor Ltd,Hotel,Gurgaon,"321, Dua Marg, Sirsa 974558",4429828702,Sulekha
"Swamy, Mall and Sane",School,Jaipur,"441, Vora Zila, Ambarnath 377005",0000161437,Justdial
Kar Ltd,School,Pune,"212, Sekhon Zila, Ongole-923993",0695337169,Justdial
Sarma-Kurian,Electronics,Pune,"H.No. 983, Ranganathan Road, Ballia-639548",5986832521,Google
"Ratti, Ravel and Jain",Salon,Mumbai,"H.No. 31, Mani Zila, Sagar-602020",+918154625254,Sulekha
Prabhakar Inc,Cafe,Jaipur,"H.No. 06, Minhas Ganj, Jaunpur-332105",05163956543,Justdial
"Apte, Dash and Narayan",Restaurant,Pune,"19/22, Ramaswamy Marg, Pimpri-Chinchwad-922782",7715568397,Google
"Trivedi, Mohanty and Keer",Electronics,Jaipur,"H.No. 672, Modi Marg, Bhilwara-864631",8130286616,Sulekha
Baral Ltd,Salon,Kanpur,"H.No. 090, Parmer Zila, Machilipatnam-690348",7636941777,Sulekha
Sanghvi-Salvi,Clothing,Gurgaon,"H.No. 852, Agate Marg, Machilipatnam 962307",+919196681153,Google
"Guha, Kala and Saran",Clothing,Delhi,"28, Comar Ganj, Imphal-241944",1504494375,Justdial
Mangat Group,Electronics,Kanpur,"68/591, Karpe Marg, Bangalore-191519",4161355347,Google
"Dani, Dash and Kumer",Clothing,Gurgaon,"87/427, Sachdeva Street, Chittoor-689163",+912716741623,Sulekha
Sarna-Anne,Restaurant,Pune,"027, Suri Circle, Rampur-236628",+918767482783,Justdial
Butala LLC,School,Noida,"21/24, Munshi Path, Nagaon-421927",03566869184,Google
"Bhardwaj, Pant and Sahni",Clothing,Noida,"124, Baral Ganj, Mumbai-280844",09589381576,Justdial
Handa Ltd,Salon,Jaipur,"H.No. 42, Kurian Chowk, Sri Ganganagar-484815",00433690708,Justdial
Contractor-Patla,Mobile,Agra,"H.No. 683, Gupta Path, Buxar-405294",07097090327,Sulekha
"Singhal, Mangat and Sarkar",Gym,Kanpur,"69, Gandhi Marg, Vijayawada 572897",+919036531534,Google
Mukherjee-Kanda,Restaurant,Jaipur,"65/69, Som Circle, Hajipur 262746",03886646714,Sulekha
Banerjee-Karan,School,Bengaluru,"27, Ahuja Street, Hapur 978527",+916459538125,Justdial
Bora and Sons,Salon,Agra,"H.No. 041, Natt Circle, Dindigul-713909",+912527373013,Sulekha
"Mital, Patil and Koshy",Clothing,Pune,"H.No. 09, Zacharia Circle, Bhubaneswar 911023",+913230057921,Sulekha
Krishnan-Kota,Electronics,Delhi,"60/188, Virk Circle, Visakhapatnam-137641",6916566853,Justdial
Seth PLC,Mobile,Lucknow,"H.No. 95, Salvi, Ulhasnagar-960358",06368306777,Sulekha
"Malhotra, Karnik and Seshadri",Restaurant,Noida,"64/338, Narain Chowk, Guwahati-451411",+914708914556,Sulekha
"Dewan, Gala and Varty",Cafe,Kanpur,"H.No. 815, Natarajan Path, Hapur 890950",9294883161,Google
"Vasa, Dhawan and Kanda",Mobile,Bengaluru,"57/57, Jani Zila, Kollam 091104",08493088637,Sulekha
Walia LLC,Gym,Jaipur,"H.No. 04, Vasa Chowk, Bally-808987",5115559774,Sulekha
"Kaur, Saxena and Bakshi",Clothing,Bengaluru,"H.No. 137, Lad Chowk, Tiruvottiyur 064799",+914410040288,Google
Agate Inc,Hotel,Kanpur,"605, Brahmbhatt Street, Panchkula 991391",+916859420023,Sulekha
"Batta, Upadhyay and Chowdhury",Cafe,Gurgaon,"H.No. 545, Balan Ganj, Ambarnath-098295",+914300318912,Sulekha
"Chhabra, Goda and Kohli",Electronics,Gurgaon,"H.No. 550, Sagar Marg, Warangal-737879",6780130790,Google
Chander LLC,Cafe,Kanpur,"54/65, Varkey Circle, Bhatpara-145229",1886577499,Google
Edwin-Dixit,Gym,Gurgaon,"59, Saran Street, Sangli-Miraj & Kupwad 754120",6854011050,Sulekha
Narula-Johal,Mobile,Bengaluru,"49/27, Venkatesh Ganj, South Dumdum-202765",6891295284,Justdial
Mammen-Jayaraman,Hotel,Bengaluru,"H.No. 455, Rastogi Zila, Bhagalpur-309931",0398539642,Justdial
"Saxena, Narula and Vora",School,Bengaluru,"H.No. 406, Hayer Circle, Eluru-775567",+911197088143,Sulekha
"Bajaj, Nayak and Bali",School,Delhi,"21/865, Rana Road, Bhind-681559",4777538331,Sulekha
Rout PLC,Hotel,Bengaluru,"85/32, Kata Street, Agartala-408151",0946431050,Sulekha
Keer Ltd,Clothing,Noida,"H.No. 64, Singhal Street, Akola 092353",+911207599217,Google
Singh-Bahri,Clothing,Pune,"69, Kala Zila, Guwahati-165769",+918851015847,Sulekha
Khosla-Dugar,School,Kanpur,"H.No. 676, Ganesh, Kurnool 866829",02835236379,Google
"Kota, Vohra and Kashyap",Salon,Bengaluru,"93/238, Raj Circle, Sikar 464149",+919941879411,Justdial
Sama-Sethi,Gym,Kanpur,"51/72, Dhar Zila, Aizawl-050558",03218244951,Justdial
"Chowdhury, Bir and Joshi",Mobile,Pune,"16/52, Srivastava, Ramagundam-313421",04590661061,Justdial
"Varkey, Sathe and Sarkar",Electronics,Jaipur,"H.No. 25, Ravel Chowk, Sagar 724489",3816929169,Justdial
Kumar-Sawhney,Restaurant,Agra,"H.No. 38, Ratti Chowk, Gangtok-860886",8117008411,Justdial
"Mukherjee, Hari and Gola",Mobile,Noida,"43/96, Chand Nagar, Srinagar-848266",8399865652,Sulekha
Srivastava Ltd,Cafe,Agra,"H.No. 959, Gandhi Ganj, Purnia-363389",5777567503,Justdial
"Dhar, Sahni and Mutti",Mobile,Pune,"405, Bora Nagar, Coimbatore-598779",6128543542,Google
Vasa-Chandran,Restaurant,Lucknow,"14, Venkatesh Chowk, Bongaigaon-083689",04252190840,Google
Saran and Sons,School,Pune,"H.No. 354, Kapoor Circle, Pune-908069",+917553720084,Justdial
